persona1,persona2,weight
1,2,0.8
1,3,0.26
1,21,0.12
1,32,0.76
1,52,0.28
1,70,0.28
1,118,0.31
1,142,0.41
1,177,0.45
1,194,0.35
2,4,0.2
2,5,0.57
2,18,0.54
2,21,0.35
2,40,0.87
2,135,0.19
2,161,0.71
2,163,0.57
2,174,0.65
3,4,0.43
3,22,0.75
3,32,0.58
3,110,0.85
3,167,0.23
4,7,0.68
4,22,0.16
4,100,0.32
4,125,0.48
4,164,0.68
4,182,0.19
5,6,0.51
5,23,0.33
5,50,0.56
5,58,0.85
5,74,0.42
5,102,0.62
5,151,0.72
6,9,0.33
6,39,0.14
6,43,0.86
6,121,0.19
6,162,0.46
7,8,0.75
7,24,0.15
7,28,0.22
7,100,0.88
7,103,0.87
7,184,0.25
7,186,0.21
8,11,0.68
8,104,0.29
8,173,0.23
9,10,0.31
9,25,0.69
9,44,0.15
9,55,0.16
9,75,0.1
9,105,0.48
9,136,0.89
9,146,0.21
9,171,0.18
10,13,0.59
10,41,0.4
10,56,0.54
10,122,0.5
10,124,0.68
10,126,0.31
11,12,0.55
11,26,0.42
11,67,0.4
11,77,0.62
11,126,0.35
11,134,0.12
12,15,0.4
12,48,0.14
12,118,0.54
12,129,0.2
13,14,0.52
13,27,0.36
13,72,0.31
13,113,0.61
13,163,0.12
14,17,0.78
14,38,0.45
14,132,0.39
14,133,0.35
14,160,0.63
15,16,0.48
15,28,0.56
15,57,0.1
15,60,0.52
15,102,0.87
15,150,0.68
16,19,0.75
16,40,0.37
16,151,0.55
16,155,0.41
17,18,0.52
17,29,0.3
17,161,0.46
17,166,0.63
17,167,0.52
17,196,0.89
18,20,0.68
18,87,0.26
18,91,0.65
18,150,0.27
18,178,0.22
19,20,0.45
19,30,0.78
19,38,0.46
19,72,0.35
19,105,0.46
19,106,0.45
19,129,0.39
19,142,0.41
20,35,0.29
20,73,0.84
20,93,0.45
20,131,0.5
20,137,0.89
20,194,0.65
21,22,0.27
21,63,0.53
21,77,0.65
21,98,0.35
21,113,0.21
21,142,0.84
21,152,0.16
22,34,0.62
22,42,0.28
22,109,0.66
23,25,0.2
23,58,0.89
23,66,0.58
23,101,0.3
24,35,0.53
24,80,0.35
24,107,0.24
24,163,0.36
24,186,0.26
25,43,0.21
25,110,0.88
25,112,0.7
25,150,0.88
25,185,0.53
26,36,0.7
26,52,0.36
26,70,0.83
26,73,0.79
26,116,0.14
26,174,0.65
27,39,0.57
27,52,0.49
27,88,0.44
28,35,0.57
28,37,0.42
28,59,0.26
28,109,0.49
28,153,0.16
28,168,0.57
28,176,0.51
29,44,0.53
29,48,0.15
29,53,0.72
29,60,0.73
29,90,0.25
30,51,0.67
30,56,0.54
30,61,0.43
30,64,0.52
30,72,0.79
31,42,0.35
31,82,0.54
31,95,0.35
32,45,0.47
32,74,0.66
32,102,0.75
32,160,0.2
33,57,0.25
33,104,0.78
33,141,0.13
33,158,0.9
33,162,0.89
34,41,0.22
34,56,0.77
34,64,0.73
34,122,0.59
34,182,0.6
34,184,0.25
35,95,0.63
35,100,0.78
36,58,0.58
36,66,0.67
36,80,0.88
36,90,0.82
36,145,0.66
36,190,0.42
37,43,0.71
37,76,0.6
37,87,0.69
37,110,0.75
37,159,0.2
37,171,0.82
37,172,0.49
38,112,0.89
38,149,0.52
38,172,0.68
38,184,0.83
38,192,0.5
39,44,0.41
39,72,0.73
39,115,0.29
39,189,0.16
40,49,0.89
40,54,0.29
40,92,0.57
40,124,0.51
40,180,0.33
41,47,0.74
41,61,0.54
41,64,0.56
41,73,0.58
41,84,0.6
41,181,0.18
42,55,0.44
42,89,0.21
42,120,0.78
42,130,0.12
42,184,0.26
43,87,0.75
43,110,0.4
43,130,0.41
43,151,0.8
43,198,0.5
44,48,0.81
44,53,0.69
