id,name,regionID,initialDegree,initialRisk,status,actualStrainID,daysInfected
1,Albert_Einstein,1,5,0.3,0,0,0
2,Marie_Curie,1,8,0.2,0,0,0
3,Isaac_Newton,2,10,0.4,1,1,2
4,Nikola_Tesla,2,15,0.1,1,2,5
5,Ada_Lovelace,3,4,0.5,0,0,0
6,Charles_Darwin,3,6,0.2,0,0,0
7,Galileo_Galilei,4,12,0.6,1,3,1
8,Stephen_Hawking,4,3,0.1,0,0,0
9,Leonardo_DaVinci,5,7,0.3,0,0,0
10,Michelangelo,5,9,0.2,0,0,0
11,Frida_Kahlo,6,5,0.4,0,0,0
12,Diego_Rivera,6,2,0.7,1,1,3
13,Pablo_Picasso,7,11,0.3,0,0,0
14,Vincent_VanGogh,7,4,0.2,0,0,0
15,Salvador_Dali,8,8,0.5,0,0,0
16,William_Shakespeare,8,6,0.1,0,0,0
17,Miguel_Cervantes,9,14,0.4,1,4,4
18,Gabriel_Garcia,9,3,0.2,0,0,0
19,JRR_Tolkien,10,5,0.3,0,0,0
20,JK_Rowling,10,7,0.1,0,0,0
21,Elon_Musk,1,20,0.8,1,2,1
22,Bill_Gates,2,18,0.7,0,0,0
23,Steve_Jobs,3,2,0.1,0,0,0
24,Mark_Zuckerberg,4,9,0.3,0,0,0
25,Jeff_Bezos,5,6,0.2,0,0,0
26,Lionel_Messi,6,4,0.4,0,0,0
27,Cristiano_Ronaldo,7,12,0.5,1,5,2
28,Michael_Jordan,8,3,0.2,0,0,0
29,Serena_Williams,9,8,0.3,0,0,0
30,Usain_Bolt,10,10,0.1,0,0,0
31,Thomas_Edison,12,3,0.22,0,0,0
32,Alexander_Fleming,14,7,0.86,0,0,0
33,Louis_Pasteur,4,11,0.81,0,0,0
34,Rosalind_Franklin,9,12,0.27,0,0,0
35,Niels_Bohr,14,1,0.87,0,0,0
36,Max_Planck,1,15,0.36,0,0,0
37,Erwin_Schrodinger,16,14,0.5,0,0,0
38,Richard_Feynman,8,11,0.18,0,0,0
39,Carl_Sagan,16,9,0.88,0,0,0
40,Neil_Armstrong,4,1,0.54,0,0,0
41,Yuri_Gagarin,6,12,0.28,0,0,0
42,Buzz_Aldrin,12,8,0.45,0,0,0
43,Wright_Brothers,2,7,0.35,0,0,0
44,Henry_Ford,10,1,0.7,0,0,0
45,Enzo_Ferrari,12,9,0.09,0,0,0
46,Coco_Chanel,18,10,0.4,0,0,0
47,Christian_Dior,8,12,0.82,0,0,0
48,Gianni_Versace,9,4,0.45,0,0,0
49,Giorgio_Armani,1,2,0.53,0,0,0
50,Miuccia_Prada,9,11,0.33,0,0,0
51,Wolfgang_Mozart,2,1,0.64,0,0,0
52,Ludwig_Beethoven,1,3,0.02,0,0,0
53,Johann_Bach,13,4,0.8,0,0,0
54,Frederic_Chopin,10,15,0.08,0,0,0
55,Pyotr_Tchaikovsky,14,7,0.48,0,0,0
56,Elvis_Presley,20,5,0.05,0,0,0
57,Michael_Jackson,16,10,0.25,0,0,0
58,Freddie_Mercury,19,8,0.05,0,0,0
59,David_Bowie,12,12,0.12,0,0,0
60,John_Lennon,8,3,0.4,0,0,0
61,Paul_McCartney,13,5,0.26,0,0,0
62,Madonna,6,1,0.62,0,0,0
63,Beyonce,13,12,0.75,0,0,0
64,Taylor_Swift,13,8,0.21,0,0,0
65,Eminem,13,2,0.27,0,0,0
66,Marilyn_Monroe,6,3,0.54,0,0,0
67,Audrey_Hepburn,11,12,0.02,0,0,0
68,Charlie_Chaplin,17,8,0.25,0,0,0
69,Walt_Disney,16,9,0.35,0,0,0
70,Steven_Spielberg,5,4,0.48,0,0,0
71,George_Lucas,3,2,0.13,0,0,0
72,Quentin_Tarantino,3,4,0.52,0,0,0
73,Martin_Scorsese,13,14,0.66,0,0,0
74,Leonardo_DiCaprio,13,4,0.86,1,14,2
75,Brad_Pitt,15,8,0.71,0,0,0
76,Angelina_Jolie,18,9,0.79,0,0,0
77,Meryl_Streep,16,9,0.83,0,0,0
78,Tom_Hanks,1,8,0.16,0,0,0
79,Robert_DeNiro,17,15,0.85,0,0,0
80,Al_Pacino,10,8,0.17,0,0,0
81,Johnny_Depp,13,1,0.85,0,0,0
82,Will_Smith,7,1,0.29,0,0,0
83,Denzel_Washington,8,12,0.27,0,0,0
84,Morgan_Freeman,20,9,0.52,0,0,0
85,Samuel_Jackson,15,10,0.25,0,0,0
86,Oprah_Winfrey,3,12,0.55,0,0,0
87,Ellen_DeGeneres,9,13,0.78,0,0,0
88,Kim_Kardashian,19,7,0.31,0,0,0
89,Kylie_Jenner,13,3,0.45,0,0,0
90,Rihanna,19,14,0.07,0,0,0
91,Shakira,1,13,0.45,0,0,0
92,Jennifer_Lopez,19,9,0.52,0,0,0
93,Sofia_Vergara,12,15,0.69,0,0,0
94,Salma_Hayek,20,3,0.67,0,0,0
95,Gael_Garcia,16,2,0.83,0,0,0
96,Guillermo_delToro,3,12,0.21,0,0,0
97,Alfonso_Cuaron,17,1,0.44,0,0,0
98,Alejandro_Inarritu,5,12,0.73,0,0,0
99,Pedro_Infante,5,14,0.12,1,16,1
100,Jorge_Negrete,14,6,0.36,0,0,0
101,Cantinflas,16,9,0.04,0,0,0
102,Chespirito,14,3,0.66,0,0,0
103,Maria_Felix,20,6,0.13,0,0,0
104,Dolores_DelRio,6,4,0.09,0,0,0
105,Thalia,19,9,0.01,0,0,0
106,Luis_Miguel,2,2,0.38,0,0,0
107,Juan_Gabriel,8,14,0.26,0,0,0
108,Vicente_Fernandez,10,13,0.39,0,0,0
109,Jose_Jose,9,7,0.62,0,0,0
110,Carlos_Santana,4,7,0.68,0,0,0
111,Pele,1,12,0.38,0,0,0
112,Diego_Maradona,2,12,0.76,0,0,0
113,Neymar_Jr,20,3,0.15,0,0,0
114,Kylian_Mbappe,11,7,0.39,0,0,0
115,Erling_Haaland,11,4,0.45,0,0,0
116,LeBron_James,1,3,0.86,0,0,0
117,Kobe_Bryant,8,7,0.74,0,0,0
118,Shaquille_ONeal,6,3,0.46,0,0,0
119,Tiger_Woods,11,9,0.32,0,0,0
120,Roger_Federer,20,10,0.75,0,0,0
121,Rafael_Nadal,16,1,0.54,0,0,0
122,Novak_Djokovic,4,8,0.06,0,0,0
123,Lewis_Hamilton,18,4,0.86,0,0,0
124,Max_Verstappen,8,6,0.86,0,0,0
125,Ayrton_Senna,6,10,0.57,1,9,4
126,Michael_Schumacher,10,10,0.42,0,0,0
127,Valentino_Rossi,10,13,0.26,0,0,0
128,Marc_Marquez,13,3,0.86,0,0,0
129,Canelo_Alvarez,17,11,0.24,0,0,0
130,Julio_Cesar_Chavez,11,8,0.4,0,0,0
131,Muhammad_Ali,18,7,0.38,0,0,0
132,Mike_Tyson,7,2,0.17,0,0,0
133,Conor_McGregor,1,8,0.46,0,0,0
134,Ronda_Rousey,10,5,0.17,0,0,0
135,Simone_Biles,2,5,0.86,0,0,0
136,Michael_Phelps,8,5,0.1,0,0,0
137,Usain_Bolt,6,11,0.5,0,0,0
138,Jesse_Owens,4,4,0.12,0,0,0
139,Nadia_Comaneci,10,5,0.51,0,0,0
140,Yelena_Isinbayeva,19,4,0.63,0,0,0
141,Barack_Obama,16,1,0.36,0,0,0
142,Donald_Trump,15,14,0.59,0,0,0
143,Joe_Biden,17,8,0.53,0,0,0
144,Vladimir_Putin,11,1,0.15,0,0,0
145,Xi_Jinping,20,14,0.12,0,0,0
146,Angela_Merkel,20,10,0.44,0,0,0
147,Emmanuel_Macron,5,4,0.43,0,0,0
148,Queen_Elizabeth,20,12,0.47,0,0,0
149,Princess_Diana,18,7,0.21,0,0,0
150,Nelson_Mandela,16,2,0.85,1,19,7
151,Mahatma_Gandhi,16,13,0.27,0,0,0
152,Martin_Luther_King,8,14,0.34,0,0,0
153,Malcolm_X,17,2,0.41,0,0,0
154,Rosa_Parks,2,12,0.43,0,0,0
155,Mother_Teresa,6,7,0.25,0,0,0
156,Dalai_Lama,9,8,0.88,0,0,0
157,Pope_Francis,11,10,0.31,0,0,0
158,Che_Guevara,20,1,0.49,0,0,0
159,Fidel_Castro,5,12,0.77,0,0,0
160,Simon_Bolivar,10,6,0.51,0,0,0
161,Napoleon_Bonaparte,17,12,0.63,0,0,0
162,Julius_Caesar,9,13,0.64,0,0,0
163,Alexander_Great,3,2,0.21,0,0,0
164,Genghis_Khan,3,14,0.25,0,0,0
165,Cleopatra,17,5,0.4,0,0,0
166,Joan_of_Arc,14,8,0.07,0,0,0
167,Winston_Churchill,18,12,0.74,0,0,0
168,Franklin_Roosevelt,17,13,0.14,0,0,0
169,Abraham_Lincoln,19,9,0.59,0,0,0
170,George_Washington,3,2,0.15,0,0,0
171,Benjamin_Franklin,2,2,0.7,0,0,0
172,Thomas_Jefferson,6,12,0.1,0,0,0
173,John_Kennedy,20,14,0.12,0,0,0
174,Marilyn_Manson,2,5,0.15,0,0,0
175,Kurt_Cobain,16,6,0.1,0,0,0
176,Amy_Winehouse,18,10,0.74,0,0,0
177,Janis_Joplin,7,10,0.37,0,0,0
178,Jimi_Hendrix,4,13,0.01,0,0,0
179,Jim_Morrison,19,2,0.56,0,0,0
180,Bob_Marley,20,14,0.52,0,0,0
181,Bob_Dylan,10,12,0.51,0,0,0
182,Bruce_Springsteen,11,10,0.61,0,0,0
183,Bono,16,3,0.01,0,0,0
184,Elton_John,11,15,0.42,0,0,0
185,Prince,17,6,0.69,0,0,0
186,Whitney_Houston,4,8,0.83,0,0,0
187,Celine_Dion,10,8,0.04,0,0,0
188,Mariah_Carey,19,2,0.48,0,0,0
189,Adele,3,12,0.35,0,0,0
190,Lady_Gaga,15,14,0.03,0,0,0
191,Katy_Perry,20,2,0.88,0,0,0
192,Britney_Spears,2,6,0.02,1,6,3
193,Justin_Timberlake,7,10,0.5,0,0,0
194,Justin_Bieber,4,8,0.37,0,0,0
195,Ariana_Grande,14,3,0.41,0,0,0
196,Selena_Gomez,5,7,0.48,0,0,0
197,Miley_Cyrus,18,5,0.22,0,0,0
198,Demi_Lovato,18,2,0.47,0,0,0
199,Zendaya,6,12,0.61,0,0,0
200,Tom_Holland,17,1,0.8,0,0,0
