id,name,beta,caseFatalityRatio,recovery
1,COVID-19,0.7,0.02,0.1
2,Omicron,0.8,0.01,0.15
3,Delta,0.6,0.03,0.08
4,Flu-A,0.4,0.005,0.2
5,SARS-CoV-1,0.5,0.1,0.05
6,MERS,0.3,0.35,0.04
7,Ebola-Zaire,0.2,0.5,0.02
8,H1N1,0.5,0.01,0.12
9,Zika,0.3,0.001,0.1
10,Dengue,0.2,0.005,0.15
11,Alpha-Var,0.65,0.02,0.09
12,Beta-Var,0.6,0.025,0.08
13,Gamma-Var,0.7,0.022,0.09
14,Lambda,0.55,0.015,0.1
15,Mu-Var,0.5,0.01,0.11
16,Omega-X,0.9,0.005,0.2
17,Neo-Flu,0.45,0.008,0.18
18,X-Pathogen,0.3,0.6,0.01
19,CommonCold,0.3,0.0001,0.3
20,Norovirus,0.8,0.001,0.4
